CompoundCityId,cityId,stateId
113078-9,113078,9
111762-30,111762,30
111273-17,111273,17
111345-21,111345,21
111395-30,111395,30
109833-22,109833,22
109842-29,109842,29
109131-19,109131,19
109249-9,109249,9
107301-23,107301,23
107361-36,107361,36
107687-38,107687,38
107819-22,107819,22
108080-19,108080,19
107209-23,107209,23
105944-46,105944,46
106333-24,106333,24
103884-26,103884,26
104184-9,104184,9
104511-24,104511,24
103224-24,103224,24
102212-31,102212,31
102452-44,102452,44
102708-36,102708,36
101995-29,101995,29
102106-22,102106,22
99566-15,99566,15
99567-22,99567,22
132347-28,132347,28
132519-22,132519,22
131455-58,131455,58
131550-29,131550,29
131552-34,131552,34
132292-45,132292,45
131388-24,131388,24
128108-35,128108,35
127376-21,127376,21
127396-58,127396,58
127503-55,127503,55
126563-21,126563,21
126578-28,126578,28
126903-21,126903,21
126322-58,126322,58
125036-30,125036,30
125074-35,125074,35
125233-14,125233,14
123712-7,123712,7
123733-17,123733,17
122427-45,122427,45
122449-40,122449,40
123014-32,123014,32
121122-40,121122,40
121452-28,121452,28
119775-30,119775,30
119916-46,119916,46
117943-35,117943,35
118961-34,118961,34
116254-55,116254,55
116394-19,116394,19
116541-21,116541,21
115950-58,115950,58
116173-22,116173,22
112978-28,112978,28
113529-29,113529,29
112701-9,112701,9
110892-35,110892,35
111066-19,111066,19
110352-6,110352,6
110409-20,110409,20
110709-19,110709,19
109588-35,109588,35
108582-21,108582,21
108071-21,108071,21
108245-44,108245,44
106300-45,106300,45
106700-58,106700,58
105104-28,105104,28
105391-10,105391,10
103928-27,103928,27
104045-32,104045,32
104067-31,104067,31
104487-24,104487,24
102797-28,102797,28
102970-15,102970,15
103780-22,103780,22
102152-18,102152,18
102541-23,102541,23
100222-26,100222,26
99678-17,99678,17
99717-20,99717,20
100164-5,100164,5
100289-30,100289,30
133208-20,133208,20
147540-46,147540,46
132717-9,132717,9
131346-6,131346,6
130578-30,130578,30
130721-19,130721,19
128559-27,128559,27
128615-9,128615,9
128713-30,128713,30
128153-17,128153,17
128221-23,128221,23
127153-34,127153,34
124211-30,124211,30
123766-44,123766,44
122723-32,122723,32
122875-45,122875,45
121973-29,121973,29
122178-20,122178,20
121129-9,121129,9
120719-39,120719,39
120749-58,120749,58
119362-28,119362,28
119599-38,119599,38
120561-9,120561,9
118597-36,118597,36
118068-58,118068,58
118230-30,118230,30
118243-9,118243,9
117313-9,117313,9
117978-30,117978,30
115148-45,115148,45
116642-29,116642,29
117272-36,117272,36
114229-27,114229,27
113371-55,113371,55
111937-30,111937,30
112260-21,112260,21
112384-58,112384,58
110561-28,110561,28
110561-40,110561,40
110834-17,110834,17
109779-45,109779,45
110001-9,110001,9
107126-36,107126,36
107240-44,107240,44
104885-55,104885,55
105530-22,105530,22
105784-20,105784,20
104586-23,104586,23
104660-13,104660,13
102170-34,102170,34
102428-46,102428,46
100933-34,100933,34
100531-24,100531,24
100661-10,100661,10
99610-44,99610,44
132561-45,132561,45
133138-19,133138,19
131636-27,131636,27
128261-14,128261,14
129153-31,129153,31
129279-46,129279,46
127249-26,127249,26
127614-19,127614,19
127838-22,127838,22
125943-19,125943,19
125386-15,125386,15
125537-30,125537,30
124564-28,124564,28
124203-45,124203,45
122526-49,122526,49
122810-32,122810,32
146756-58,146756,58
120680-34,120680,34
121237-17,121237,17
117784-7,117784,7
116554-26,116554,26
116556-29,116556,29
116993-30,116993,30
115862-6,115862,6
116332-9,116332,9
114586-27,114586,27
114950-49,114950,49
113964-19,113964,19
114047-9,114047,9
114581-46,114581,46
147153-29,147153,29
113690-22,113690,22
113806-49,113806,49
112075-32,112075,32
112144-35,112144,35
112364-36,112364,36
113127-21,113127,21
111159-10,111159,10
111213-19,111213,19
112009-18,112009,18
111147-35,111147,35
109540-9,109540,9
109625-7,109625,7
109237-17,109237,17
109466-30,109466,30
108256-17,108256,17
109060-9,109060,9
107513-46,107513,46
106816-46,106816,46
106324-23,106324,23
105499-30,105499,30
105666-58,105666,58
105861-9,105861,9
105414-5,105414,5
104635-26,104635,26
104261-34,104261,34
104304-44,104304,44
103665-30,103665,30
104045-46,104045,46
102191-36,102191,36
101343-30,101343,30
101555-44,101555,44
102056-26,102056,26
100492-27,100492,27
100886-58,100886,58
99498-27,99498,27
99570-24,99570,24
99978-9,99978,9
133017-24,133017,24
133309-29,133309,29
131565-30,131565,30
131449-44,131449,44
129131-36,129131,36
128121-15,128121,15
125974-29,125974,29
125614-11,125614,11
125622-21,125622,21
146826-27,146826,27
124697-22,124697,22
125022-20,125022,20
123956-45,123956,45
124079-30,124079,30
124110-19,124110,19
122305-26,122305,26
122587-30,122587,30
122614-30,122614,30
121104-9,121104,9
121727-21,121727,21
119730-45,119730,45
118817-36,118817,36
117054-29,117054,29
117892-21,117892,21
114550-9,114550,9
115067-29,115067,29
112144-27,112144,27
133328-9,133328,9
111271-19,111271,19
110389-23,110389,23
109629-40,109629,40
109289-58,109289,58
109436-29,109436,29
109526-17,109526,17
108473-23,108473,23
107785-26,107785,26
108024-32,108024,32
108051-31,108051,31
104900-17,104900,17
104027-27,104027,27
104222-20,104222,20
104376-30,104376,30
104573-26,104573,26
103743-38,103743,38
103815-40,103815,40
101678-45,101678,45
102706-58,102706,58
100092-44,100092,44
100163-21,100163,21
100536-31,100536,31
99869-36,99869,36
100029-9,100029,9
100032-46,100032,46
132664-23,132664,23
133008-26,133008,26
131304-44,131304,44
129374-35,129374,35
129412-45,129412,45
128925-19,128925,19
127383-35,127383,35
123729-14,123729,14
123871-58,123871,58
122132-22,122132,22
122141-20,122141,20
121439-14,121439,14
122124-58,122124,58
120846-11,120846,11
118816-23,118816,23
117632-36,117632,36
118597-48,118597,48
116618-17,116618,17
117073-26,117073,26
115942-23,115942,23
116050-9,116050,9
116290-31,116290,31
116363-10,116363,10
114483-22,114483,22
114886-9,114886,9
113090-19,113090,19
112219-28,112219,28
112346-58,112346,58
112764-44,112764,44
112775-35,112775,35
112000-6,112000,6
110715-17,110715,17
111288-10,111288,10
109559-22,109559,22
109761-45,109761,45
109842-10,109842,10
108463-36,108463,36
108473-15,108473,15
107456-32,107456,32
106294-19,106294,19
106353-9,106353,9
106431-22,106431,22
105346-34,105346,34
105739-44,105739,44
104256-28,104256,28
104903-17,104903,17
103482-34,103482,34
103490-58,103490,58
102710-26,102710,26
102768-23,102768,23
101898-32,101898,32
100633-24,100633,24
101348-21,101348,21
99699-20,99699,20
132435-58,132435,58
131655-18,131655,18
129162-46,129162,46
128395-27,128395,27
127150-44,127150,44
127253-29,127253,29
127376-17,127376,17
126199-9,126199,9
126411-20,126411,20
125488-34,125488,34
124403-28,124403,28
123124-58,123124,58
122850-45,122850,45
123108-27,123108,27
121244-44,121244,44
121291-45,121291,45
118746-23,118746,23
117911-44,117911,44
118312-22,118312,22
116247-29,116247,29
116664-19,116664,19
113735-30,113735,30
114785-58,114785,58
113357-17,113357,17
113155-46,113155,46
111791-28,111791,28
110749-58,110749,58
110785-35,110785,35
110104-35,110104,35
109514-5,109514,5
109785-6,109785,6
107871-27,107871,27
108053-15,108053,15
107045-31,107045,31
107376-31,107376,31
106527-46,106527,46
106900-15,106900,15
106068-19,106068,19
106238-9,106238,9
104275-31,104275,31
104635-17,104635,17
147018-58,147018,58
103110-36,103110,36
103317-23,103317,23
101698-24,101698,24
100480-22,100480,22
100607-28,100607,28
100971-44,100971,44
99598-15,99598,15
99982-19,99982,19
100191-9,100191,9
131318-46,131318,46
132840-9,132840,9
132884-29,132884,29
132907-44,132907,44
128562-35,128562,35
126356-58,126356,58
126416-27,126416,27
126572-36,126572,36
126944-20,126944,20
125463-29,125463,29
125125-27,125125,27
125211-9,125211,9
124645-58,124645,58
125105-24,125105,24
123707-58,123707,58
123055-48,123055,48
123070-35,123070,35
121811-23,121811,23
122155-28,122155,28
120251-27,120251,27
133342-27,133342,27
121615-19,121615,19
119312-28,119312,28
148436-16,148436,16
116857-17,116857,17
116899-10,116899,10
116980-9,116980,9
116285-28,116285,28
115501-30,115501,30
115574-23,115574,23
114088-45,114088,45
111766-19,111766,19
111254-32,111254,32
109720-10,109720,10
110314-26,110314,26
108593-22,108593,22
109638-34,109638,34
108127-29,108127,29
108159-19,108159,19
108531-45,108531,45
106797-27,106797,27
106809-34,106809,34
107306-58,107306,58
107359-58,107359,58
106396-49,106396,49
106431-19,106431,19
106487-31,106487,31
105806-40,105806,40
104506-20,104506,20
104635-27,104635,27
102732-20,102732,20
103236-20,103236,20
101728-28,101728,28
102388-17,102388,17
102501-19,102501,19
100230-36,100230,36
100237-9,100237,9
100306-15,100306,15
100377-14,100377,14
100668-58,100668,58
99784-27,99784,27
99990-14,99990,14
100156-22,100156,22
132795-45,132795,45
128943-39,128943,39
128986-23,128986,23
127711-9,127711,9
127087-24,127087,24
125413-5,125413,5
125471-26,125471,26
125595-45,125595,45
123124-22,123124,22
121338-9,121338,9
120438-38,120438,38
121069-19,121069,19
118614-24,118614,24
119264-20,119264,20
118269-19,118269,19
118514-44,118514,44
116896-19,116896,19
117069-55,117069,55
115582-35,115582,35
115742-44,115742,44
115417-30,115417,30
114043-16,114043,16
114189-27,114189,27
114414-45,114414,45
113533-30,113533,30
113216-44,113216,44
111138-15,111138,15
111851-35,111851,35
110350-34,110350,34
109081-27,109081,27
106978-28,106978,28
107106-45,107106,45
105361-46,105361,46
103822-34,103822,34
104060-9,104060,9
104608-10,104608,10
103443-21,103443,21
102520-28,102520,28
100134-23,100134,23
133310-40,133310,40
133256-34,133256,34
132303-26,132303,26
132405-45,132405,45
132405-58,132405,58
131289-48,131289,48
129299-15,129299,15
128061-18,128061,18
129133-7,129133,7
129211-32,129211,32
127779-21,127779,21
127376-23,127376,23
124950-30,124950,30
125432-22,125432,22
123876-44,123876,44
124132-19,124132,19
124302-27,124302,27
124872-32,124872,32
122370-15,122370,15
121803-45,121803,45
122012-19,122012,19
118854-9,118854,9
119444-48,119444,48
118336-46,118336,46
118581-27,118581,27
118116-11,118116,11
147204-5,147204,5
116731-19,116731,19
115661-28,115661,28
115700-58,115700,58
115759-30,115759,30
115862-21,115862,21
116028-9,116028,9
114902-10,114902,10
112486-29,112486,29
112640-31,112640,31
113320-35,113320,35
112219-34,112219,34
109936-36,109936,36
110588-38,110588,38
108786-21,108786,21
109283-9,109283,9
108160-9,108160,9
108290-48,108290,48
108701-17,108701,17
108718-45,108718,45
106872-24,106872,24
106037-23,106037,23
104257-58,104257,58
102531-9,102531,9
103369-35,103369,35
101161-36,101161,36
131473-45,131473,45
132396-44,132396,44
128877-10,128877,10
128923-29,128923,29
128006-14,128006,14
125819-9,125819,9
126531-58,126531,58
126566-22,126566,22
124904-44,124904,44
124967-28,124967,28
125292-24,125292,24
124496-30,124496,30
122962-48,122962,48
123405-31,123405,31
123611-44,123611,44
121197-44,121197,44
121622-22,121622,22
118788-20,118788,20
119543-27,119543,27
119599-17,119599,17
117635-26,117635,26
118346-58,118346,58
118406-31,118406,31
118757-15,118757,15
116862-24,116862,24
116083-44,116083,44
116370-15,116370,15
116445-5,116445,5
116507-7,116507,7
115542-23,115542,23
113910-48,113910,48
114077-58,114077,58
114280-29,114280,29
114289-40,114289,40
113090-5,113090,5
111683-19,111683,19
113014-26,113014,26
111238-24,111238,24
111329-34,111329,34
110039-31,110039,31
108290-29,108290,29
108403-36,108403,36
108432-40,108432,40
106900-27,106900,27
106379-32,106379,32
106462-21,106462,21
106196-44,106196,44
106214-9,106214,9
