CompoundCityId,cityId,stateId,Entity,Shape
118538-60,118538,60,NOT_FOUND,FOUND
118545-49,118545,49,FOUND,FOUND
118703-22,118703,22,FOUND,NOT_FOUND
119230-15,119230,15,FOUND,NOT_FOUND
119607-17,119607,17,NOT_FOUND,NOT_FOUND
119643-45,119643,45,FOUND,NOT_FOUND
116926-60,116926,60,NOT_FOUND,FOUND
117190-22,117190,22,FOUND,FOUND
117426-39,117426,39,FOUND,FOUND
117568-19,117568,19,FOUND,NOT_FOUND
118228-49,118228,49,FOUND,FOUND
118534-21,118534,21,FOUND,NOT_FOUND
115697-19,115697,19,FOUND,FOUND
115875-34,115875,34,FOUND,NOT_FOUND
147210-27,147210,27,FOUND,NOT_FOUND
116549-17,116549,17,FOUND,NOT_FOUND
116690-60,116690,60,NOT_FOUND,FOUND
116910-35,116910,35,FOUND,FOUND
115001-62,115001,62,NOT_FOUND,NOT_FOUND
115107-34,115107,34,FOUND,FOUND
115200-1,115200,1,NOT_FOUND,NOT_FOUND
115291-29,115291,29,NOT_FOUND,NOT_FOUND
115544-49,115544,49,FOUND,FOUND
115549-40,115549,40,FOUND,NOT_FOUND
113958-59,113958,59,NOT_FOUND,FOUND
114155-4,114155,4,FOUND,NOT_FOUND
114469-48,114469,48,FOUND,FOUND
114475-32,114475,32,NOT_FOUND,NOT_FOUND
114486-30,114486,30,FOUND,NOT_FOUND
114737-44,114737,44,FOUND,FOUND
112984-58,112984,58,NOT_FOUND,NOT_FOUND
113469-5,113469,5,NOT_FOUND,NOT_FOUND
113554-54,113554,54,FOUND,FOUND
113579-52,113579,52,NOT_FOUND,NOT_FOUND
113809-19,113809,19,FOUND,NOT_FOUND
113839-48,113839,48,NOT_FOUND,NOT_FOUND
112610-5,112610,5,FOUND,FOUND
146671-44,146671,44,FOUND,FOUND
112696-58,112696,58,NOT_FOUND,NOT_FOUND
112734-49,112734,49,FOUND,FOUND
112770-58,112770,58,FOUND,NOT_FOUND
112832-11,112832,11,NOT_FOUND,NOT_FOUND
111712-57,111712,57,FOUND,FOUND
111754-46,111754,46,FOUND,FOUND
111909-30,111909,30,NOT_FOUND,NOT_FOUND
112182-31,112182,31,NOT_FOUND,NOT_FOUND
112595-34,112595,34,FOUND,NOT_FOUND
112607-23,112607,23,FOUND,NOT_FOUND
110276-19,110276,19,FOUND,NOT_FOUND
110538-49,110538,49,FOUND,FOUND
110658-54,110658,54,FOUND,FOUND
110903-19,110903,19,NOT_FOUND,NOT_FOUND
111215-39,111215,39,FOUND,FOUND
111318-21,111318,21,FOUND,FOUND
109137-6,109137,6,NOT_FOUND,NOT_FOUND
109280-59,109280,59,NOT_FOUND,FOUND
109391-44,109391,44,NOT_FOUND,NOT_FOUND
109858-23,109858,23,NOT_FOUND,NOT_FOUND
109990-30,109990,30,NOT_FOUND,NOT_FOUND
110091-44,110091,44,NOT_FOUND,NOT_FOUND
107680-53,107680,53,FOUND,FOUND
107904-63,107904,63,NOT_FOUND,NOT_FOUND
108014-58,108014,58,FOUND,NOT_FOUND
108210-19,108210,19,FOUND,NOT_FOUND
108504-49,108504,49,NOT_FOUND,NOT_FOUND
108532-49,108532,49,FOUND,FOUND
106949-30,106949,30,FOUND,NOT_FOUND
107184-48,107184,48,NOT_FOUND,NOT_FOUND
107318-14,107318,14,FOUND,FOUND
107419-35,107419,35,FOUND,NOT_FOUND
107618-6,107618,6,NOT_FOUND,NOT_FOUND
107679-45,107679,45,NOT_FOUND,NOT_FOUND
105744-54,105744,54,NOT_FOUND,NOT_FOUND
105839-19,105839,19,NOT_FOUND,NOT_FOUND
106019-22,106019,22,FOUND,NOT_FOUND
106224-14,106224,14,FOUND,NOT_FOUND
106675-49,106675,49,FOUND,FOUND
106809-19,106809,19,NOT_FOUND,NOT_FOUND
104363-17,104363,17,NOT_FOUND,NOT_FOUND
104708-60,104708,60,NOT_FOUND,FOUND
104800-10,104800,10,FOUND,FOUND
105044-35,105044,35,FOUND,FOUND
105085-17,105085,17,FOUND,FOUND
105295-9,105295,9,FOUND,NOT_FOUND
104044-9,104044,9,FOUND,FOUND
104053-45,104053,45,NOT_FOUND,NOT_FOUND
104056-34,104056,34,NOT_FOUND,NOT_FOUND
104180-21,104180,21,FOUND,NOT_FOUND
104318-44,104318,44,NOT_FOUND,NOT_FOUND
104335-6,104335,6,NOT_FOUND,NOT_FOUND
103264-58,103264,58,FOUND,FOUND
103277-21,103277,21,NOT_FOUND,NOT_FOUND
103672-60,103672,60,NOT_FOUND,NOT_FOUND
103758-28,103758,28,FOUND,NOT_FOUND
103822-22,103822,22,FOUND,FOUND
104001-28,104001,28,FOUND,NOT_FOUND
102818-31,102818,31,FOUND,NOT_FOUND
102892-58,102892,58,NOT_FOUND,NOT_FOUND
102917-11,102917,11,FOUND,FOUND
102970-27,102970,27,FOUND,NOT_FOUND
103006-9,103006,9,NOT_FOUND,NOT_FOUND
103224-45,103224,45,FOUND,FOUND
102020-29,102020,29,NOT_FOUND,NOT_FOUND
102035-17,102035,17,NOT_FOUND,NOT_FOUND
102146-29,102146,29,FOUND,FOUND
146548-52,146548,52,NOT_FOUND,NOT_FOUND
102620-23,102620,23,FOUND,FOUND
102746-26,102746,26,FOUND,FOUND
101287-19,101287,19,FOUND,FOUND
101625-49,101625,49,NOT_FOUND,NOT_FOUND
101720-20,101720,20,FOUND,NOT_FOUND
101763-58,101763,58,NOT_FOUND,NOT_FOUND
101911-30,101911,30,FOUND,NOT_FOUND
101996-29,101996,29,NOT_FOUND,NOT_FOUND
100212-28,100212,28,FOUND,NOT_FOUND
100265-7,100265,7,FOUND,FOUND
100680-44,100680,44,FOUND,NOT_FOUND
100789-20,100789,20,FOUND,FOUND
101256-52,101256,52,NOT_FOUND,NOT_FOUND
101268-52,101268,52,NOT_FOUND,NOT_FOUND
99856-45,99856,45,NOT_FOUND,NOT_FOUND
100044-19,100044,19,FOUND,NOT_FOUND
100176-60,100176,60,NOT_FOUND,FOUND
100288-29,100288,29,FOUND,NOT_FOUND
100326-44,100326,44,FOUND,FOUND
100337-17,100337,17,FOUND,NOT_FOUND
132998-36,132998,36,NOT_FOUND,NOT_FOUND
133201-44,133201,44,FOUND,FOUND
133283-23,133283,23,NOT_FOUND,NOT_FOUND
132187-35,132187,35,NOT_FOUND,NOT_FOUND
132234-27,132234,27,FOUND,NOT_FOUND
146369-65,146369,65,NOT_FOUND,FOUND
132564-7,132564,7,FOUND,FOUND
132582-17,132582,17,FOUND,NOT_FOUND
132962-11,132962,11,FOUND,NOT_FOUND
131550-23,131550,23,FOUND,NOT_FOUND
131625-63,131625,63,NOT_FOUND,NOT_FOUND
144244-49,144244,49,NOT_FOUND,NOT_FOUND
131982-49,131982,49,NOT_FOUND,NOT_FOUND
132111-44,132111,44,FOUND,NOT_FOUND
132135-9,132135,9,FOUND,NOT_FOUND
130268-52,130268,52,NOT_FOUND,NOT_FOUND
130819-52,130819,52,NOT_FOUND,NOT_FOUND
131263-20,131263,20,NOT_FOUND,NOT_FOUND
131338-44,131338,44,NOT_FOUND,NOT_FOUND
131346-10,131346,10,FOUND,FOUND
131481-45,131481,45,FOUND,NOT_FOUND
144163-28,144163,28,FOUND,NOT_FOUND
129101-9,129101,9,FOUND,NOT_FOUND
129222-21,129222,21,FOUND,FOUND
129515-29,129515,29,FOUND,NOT_FOUND
143688-52,143688,52,NOT_FOUND,NOT_FOUND
143865-52,143865,52,NOT_FOUND,NOT_FOUND
127363-28,127363,28,NOT_FOUND,NOT_FOUND
127701-9,127701,9,FOUND,NOT_FOUND
127958-49,127958,49,NOT_FOUND,NOT_FOUND
128271-39,128271,39,NOT_FOUND,NOT_FOUND
128637-5,128637,5,FOUND,FOUND
128819-22,128819,22,NOT_FOUND,NOT_FOUND
126747-9,126747,9,FOUND,NOT_FOUND
126922-24,126922,24,FOUND,NOT_FOUND
126946-64,126946,64,NOT_FOUND,FOUND
127144-44,127144,44,FOUND,FOUND
127192-44,127192,44,FOUND,NOT_FOUND
127274-64,127274,64,NOT_FOUND,NOT_FOUND
125028-17,125028,17,FOUND,NOT_FOUND
125236-58,125236,58,NOT_FOUND,NOT_FOUND
125352-58,125352,58,NOT_FOUND,NOT_FOUND
125861-40,125861,40,NOT_FOUND,NOT_FOUND
125904-45,125904,45,FOUND,FOUND
126405-65,126405,65,NOT_FOUND,FOUND
124065-32,124065,32,FOUND,NOT_FOUND
124072-15,124072,15,FOUND,FOUND
124200-54,124200,54,FOUND,FOUND
124827-29,124827,29,FOUND,FOUND
124843-60,124843,60,NOT_FOUND,FOUND
124946-30,124946,30,FOUND,NOT_FOUND
122883-58,122883,58,FOUND,FOUND
123027-64,123027,64,NOT_FOUND,FOUND
123595-63,123595,63,NOT_FOUND,NOT_FOUND
